Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),BMI,recovery_time
39.0,Female,72.1,1.52,172.0,151.0,63.95115103874228,1.09,1093.0,HIIT,28.2,2.7,2.0,20.85,46.8407546738691
53.0,Male,80.5,1.64,173.0,120.0,60.0,1.26,735.0,Yoga,26.3,2.706644144144144,4.0,12.32,54.95443591557688
41.0,Male,77.0,1.5,190.0,146.0,56.0,1.3,1067.0,Strength,27.5,3.3,4.0,26.26,34.57706215010268
23.0,Male,117.8,1.88,168.0,167.0,55.0,1.35,1259.0,Strength,32.3,1.6,3.0,14.24,27.24247385422792
31.0,Female,76.2,1.64,169.0,137.0,72.0,0.74,1207.0,Strength,23.3,2.7,3.3392652123995408,40.63,36.070271597137925
50.0,Female,57.3,1.72,197.0,133.0,56.0,2.0,950.0,Yoga,11.1,3.2,2.0,22.6,66.30701097888813
22.0,Female,103.1,1.72,168.0,166.0,59.0,1.07,978.0,HIIT,23.1,1.9,2.0,16.79,30.341291351732732
29.0,Female,77.4,1.69,179.0,132.0,74.0,1.11,712.0,Yoga,27.0,3.5,2.0,16.23,58.76519424377911
18.0,Male,84.1,1.78,194.0,145.0,64.0,2.0,686.0,Cardio,30.3,3.3,3.0,14.46,58.98497879806238
29.0,Male,40.0,1.86,180.0,169.0,63.0,1.26,986.0,Yoga,25.3,1.5,3.0,19.92,49.29452072650933
42.0,Male,66.0,1.6,196.0,159.0,52.0,1.93,1042.0,Strength,16.4,3.5,4.0,17.81,66.99404436669346
51.0,Female,84.6,1.77,197.0,141.0,55.0,1.44,543.0,HIIT,23.4,2.9,5.0,24.89,64.20664440190424
51.0,Male,100.7,1.75,185.0,138.0,73.0,1.5,703.0,Strength,25.5,1.8,4.0,15.9,37.20628374209653
22.0,Male,58.6,2.0,165.0,169.0,57.0,2.0,1402.0,Strength,30.0,3.5,4.0,20.99,30.73800372865996
21.0,Female,57.4,1.74,179.0,161.0,73.0,2.0,457.0,HIIT,27.7,2.5,3.0,24.67,57.16472723350569
21.0,Male,69.5,1.54,167.0,158.0,72.0,1.28,1044.0,Yoga,27.9,2.9,2.0,14.68,40.42310161826667
26.0,Female,42.2,1.91,174.0,127.0,72.0,1.65,455.0,Strength,23.6,2.9,3.0,24.27,28.26508342021553
18.0,Male,66.6,1.62,192.0,156.0,58.0,1.3,1250.0,Cardio,21.3,3.2,5.0,12.58,37.50650089230395
37.0,Female,94.4,1.7,193.0,127.0,70.0,1.27,1183.0,HIIT,16.4,3.4,4.0,19.3,58.66390642563175
45.0,Male,111.9,1.73,177.0,129.0,54.0,0.92,1267.0,Strength,18.3,2.6,4.0,12.32,70.24818014016577
18.0,Female,92.0,1.79,199.0,169.0,56.0,1.77,1105.0,Strength,14.4,2.706644144144144,2.0,20.25,24.24885543275362
18.0,Female,67.60663667041621,1.76,176.0,167.0,58.0,1.21,912.0,Strength,28.4,3.6,2.0,25.72,40.13616019062404
51.0,Male,61.1,1.82,165.0,163.0,57.0,1.19,1171.0,Yoga,31.7,2.5,4.0,45.75,52.975432809571615
18.0,Female,96.0,1.82,198.0,144.0,58.0,1.19,323.0,Yoga,23.8,1.8,3.0,12.32,57.178286909487966
27.0,Female,89.7,1.67,172.0,130.0,64.0,1.46,729.0,Yoga,27.7,3.4,4.0,17.56,66.4643082418628
34.0,Female,61.0,1.69,190.0,159.0,63.0,0.99,1040.0,Cardio,23.6,3.6,5.0,18.07,69.79271687826224
31.0,Female,75.6,1.57,163.0,152.0,71.0,0.96,668.0,\tYoga,25.8,2.3,4.0,26.35,58.97927374575143
19.0,Female,90.6,1.85,187.0,131.0,68.0,1.67,607.0,HIIT,27.5,3.3,2.0,19.15,38.092121890652734
47.0,Female,90.8,1.67,186.0,120.0,74.0,1.43,506.0,Strength,32.0,2.7,3.0,18.39,45.0110717825773
33.0,Female,129.9,1.69,168.0,152.0,74.0,1.61,810.0,Strength,27.5,3.5,3.3392652123995408,23.37,38.785257284403805
50.0,Female,69.3,1.7392333709131906,162.0,126.0,62.0,1.33,1138.0,Strength,25.6,1.5,3.0,22.79,69.9610468870266
19.0,Female,40.0,1.77,179.0,139.0,74.0,1.22,1173.0,Yoga,27.7,1.6,3.0,19.2,35.61166143980966
27.0,Male,112.6,1.79,174.0,167.0,60.0,0.69,1282.0,Strength,28.6,1.5,2.0,22.96,41.914094282109296
46.0,Male,108.9,1.86,162.0,165.0,74.0,1.42,936.0,Strength,22.2,1.9,4.0,27.29,38.3404555785571
52.0,Male,40.0,1.6,194.0,146.25932203389831,73.0,1.48,1156.0,Yoga,23.4,2.3,4.0,27.66,40.14861125950112
26.0,Male,43.2,1.8,185.0,149.0,52.0,1.87,1019.0,Cardio,23.5,2.1,4.0,27.59,43.2509659759725
18.0,Female,61.1,1.74,191.0,159.0,69.0,1.36,1311.0,HIIT,15.6,3.4,2.0,16.61,54.70337038264793
38.0,Male,85.5,1.77,175.0,156.0,50.0,1.13,766.0,HIIT,14.6,3.4,2.0,16.38,61.07982378612913
18.0,Female,50.1,1.8,174.0,125.0,50.0,1.38,1185.0,HIIT,30.8,3.4,3.0,29.04,47.25488594075221
45.0,Male,129.9,1.75,197.0,154.0,73.0,1.97,757.0,Cardio,23.5,2.4,5.0,36.13,67.11490084631377
47.0,Female,93.3,1.73,184.0,123.0,62.0,1.45,998.0,Yoga,15.1,1.7,4.0,12.32,25.92624707034907
45.0,Female,73.7,1.7,190.0,167.0,67.0,1.11,1100.0,Yoga,29.1,1.8,2.0,15.88,59.04268466444474
55.0,Female,69.4,1.56,175.0,134.0,70.0,1.48,734.0,Yoga,16.8,2.706644144144144,4.0,23.63,38.46307162619205
18.0,Male,86.1,2.0,180.0,158.0,72.0,1.27,1173.0,HIIT,19.7,3.5,2.0,13.06,30.4633866824051
20.0,Female,67.60663667041621,1.5,198.0,128.0,50.0,0.97,906.0,Cardio,31.2,3.4,2.0,21.03,44.99009118714969
18.0,Female,40.0,1.77,189.0,137.0,74.0,0.6,829.0,Cardio,24.7,2.6,4.0,16.35,24.11743919969947
46.0,Female,40.8,1.71,191.0,162.0,52.0,0.93,903.0,Yoga,14.2,1.9,2.0,39.04,28.8071438206994
43.0,Male,56.4,1.8,174.0,161.0,74.0,1.03,327.0,Strength,10.0,3.2,3.0,21.21,26.77758843893758
45.0,Female,60.7,1.63,170.0,139.0,74.0,1.18,1356.0,\tCardio,10.0,3.3,3.0,12.32,67.7588594447668
43.0,Female,40.0,1.69,187.0,162.0,66.0,0.9,886.0,Strength,28.0,2.2,2.0,26.48,71.48107555822669
29.0,Female,84.4,1.67,184.0,160.0,74.0,1.28,1475.0,Yoga,10.0,2.1,5.0,17.62,71.35327989214139
18.0,Female,67.5,1.71,185.0,166.0,58.0,1.81,1162.0,Cardio,10.6,3.5,3.0,37.91,31.409532494077368
21.0,Female,62.1,1.68,173.0,158.0,71.0,1.23,1186.0,Yoga,26.4,3.5,4.0,15.6,25.717603092906696
41.0,Male,83.7,1.92,161.0,163.0,59.0,1.37,1308.0,Cardio,21.4,1.5,2.0,17.48,33.825498073913096
26.0,Female,80.6,1.86,195.0,127.0,53.0,2.0,564.0,Strength,23.1,1.5,3.0,29.21,55.933338512954464
33.0,Male,60.8,1.78,189.0,147.0,73.0,1.04,951.0,Cardio,27.3,3.3,4.0,19.95777401129943,50.106488109149865
18.0,Male,44.8,1.81,164.0,146.25932203389831,57.0,1.2,742.0,HIIT,23.5,3.3,4.0,19.04,37.59114626518775
21.0,Male,62.3,1.91,198.0,141.0,51.0,1.47,1394.0,Yoga,22.7,1.8,3.0,17.4,39.587643477453625
49.0,Female,97.4,1.67,171.0,132.0,72.0,1.97,1091.0,Cardio,30.4,3.6,3.0,12.32,60.241918553831546
19.0,Male,51.4,1.78,167.0,154.0,70.0,2.0,1218.0,Yoga,29.8,2.1,3.0,13.61,26.404176393960405
31.0,Male,79.1,1.74,192.0,167.0,74.0,0.93,1157.0,Cardio,18.7,1.9,2.0,13.83,46.199683509824354
43.0,Male,57.5,2.0,172.0,126.0,64.0,1.4,735.0,Cardio,16.9,2.1,3.0,20.98,61.5343727956853
43.0,Female,70.6,1.71,193.0,148.0,54.0,1.28,725.0,Cardio,27.1,3.6,3.0,22.55,61.04419824191636
18.0,Female,72.5,1.79,173.0,140.0,67.0,1.34,1629.0,Strength,27.3,2.7,5.0,19.58,55.87636168797806
44.0,Female,68.0,1.66,182.0,146.0,68.0,0.82,1278.0,HIIT,20.7,3.0,5.0,16.02,40.45470341031913
21.0,Female,121.6,1.78,182.0,151.0,50.0,1.81,1242.0,Yoga,21.0,3.5,4.0,16.63,31.167958097803844
58.0,Female,51.2,1.72,165.0,139.0,70.0,0.79,1612.0,Yoga,20.6,2.1,3.0,36.29,67.68286405088519
35.0,Female,60.8,1.64,161.0,127.0,74.0,1.57,1132.0,Yoga,20.7,3.7,3.0,19.54,36.03372866058735
18.0,Male,49.8,1.96,199.0,162.0,74.0,1.64,996.0,Strength,23.509360986547083,2.3,4.0,14.35,49.58710624831295
26.0,Female,64.7,1.75,172.0,157.0,52.0,1.35,1193.0,Yoga,23.5,1.6,3.0,18.21,41.47980606523908
24.0,Female,58.5,1.87,183.0,128.0,74.0,1.36,1034.0,HIIT,24.8,3.3,4.0,24.49,63.66724029145827
31.0,Female,49.1,1.7,162.0,167.0,63.0,1.1,891.0,Strength,23.5,2.9,3.0,15.73,45.93346428050754
39.0,Female,67.8,1.59,164.0,158.0,74.0,1.65,1374.0,Strength,25.9,2.6,5.0,25.0,64.9739883520522
44.0,Female,40.8,1.74,177.0,165.0,72.0,1.3915981992121553,384.0,HIIT,10.0,2.706644144144144,3.0,13.11,55.32565086200419
18.0,Male,71.5,1.69,186.0,124.0,60.0,1.53,763.0,Yoga,16.9,2.5,2.0,15.8,62.39499395569644
50.0,Male,41.1,1.51,169.0,152.0,63.0,2.0,1069.0,Strength,24.9,1.5,4.0,31.59,37.46277153322039
27.0,Male,52.3,1.6,177.0,124.0,66.0,0.93,416.0,Strength,22.5,2.706644144144144,5.0,31.64,67.09575844393274
28.0,Male,73.2,1.76,171.0,159.0,61.0,1.21,973.0,HIIT,26.4,2.0,4.0,12.32,64.17713968731263
41.0,Female,117.7,1.67,189.0,123.0,58.0,2.0,1243.0,Yoga,26.2,3.2,2.0,17.26,65.83399582903033
31.0,Male,63.8,1.74,199.0,140.0,55.0,1.5,741.0,HIIT,28.1,1.6,3.0,25.22,33.123779976200005
31.0,Male,62.1,1.71,172.0,169.0,55.0,1.52,854.0,HIIT,27.4,3.7,3.0,19.95777401129943,26.54813541975777
18.0,Male,52.0,1.66,199.0,137.0,74.0,2.0,1314.0,Cardio,26.7,3.3,3.0,20.41,34.05062846916745
25.0,Female,73.3,1.5,185.0,169.0,67.0,1.38,433.0,Strength,30.6,1.5,4.0,22.55,51.74931750865005
18.0,Male,50.0,1.83,163.0,140.0,64.0,1.41,969.0,Yoga,19.0,1.9,3.0,14.29,49.5454635165131
34.0,Male,90.0,1.74,194.0,167.0,57.0,1.36,764.0,Cardio,25.0,2.6,4.0,13.77,36.731946023242585
39.0,Male,109.6,1.84,199.0,152.0,74.0,1.27,790.0,HIIT,26.7,3.5,2.0,19.77,64.91353663742674
18.0,Male,43.5,1.77,161.0,136.0,57.0,2.0,452.0,Cardio,24.4,3.3,5.0,21.96,26.471976753169194
20.0,Male,115.4,1.73,187.0,154.0,63.0,1.12,878.0,Yoga,30.7,3.5,3.0,27.02,33.18032579376076
22.0,Male,47.4,1.91,161.0,164.0,73.0,2.0,1206.0,Cardio,26.6,3.5,5.0,15.36,54.07020149163957
18.0,Male,54.6,1.66,189.0,142.0,64.0,1.19,523.0,HIIT,34.7,2.6,2.0,18.88,53.092751094235865
36.0,Male,40.0,2.0,193.0,121.0,63.95115103874228,1.98,1282.0,Yoga,25.7,2.6,4.0,27.96,61.33206925441742
26.0,Female,71.2,2.0,169.0,159.0,52.0,1.42,749.0,Strength,29.8,3.5,4.0,27.16,39.37794722893805
53.0,Female,46.4,1.7,169.0,120.0,72.0,1.49,1415.0,Yoga,21.9,3.4,4.0,14.08,44.86122147783042
18.0,Female,69.9,1.78,160.0,143.0,74.0,2.0,930.0,HIIT,19.6,2.0,3.0,12.32,49.18857292692456
20.0,Male,64.9,1.69,187.0,128.0,54.0,0.68,1303.0,Cardio,10.0,3.3,4.0,14.87,55.496129247647005
43.0,Female,47.6,1.65,198.0,140.0,61.0,2.0,692.0,Cardio,22.0,3.5,3.0,22.14,25.21296693179428
23.0,Male,48.9,1.7,168.0,156.0,65.0,1.4,1776.0,Yoga,32.5,2.1,3.3392652123995408,21.36,56.29390935710048
51.0,Female,72.2,1.91,184.0,140.0,70.0,1.39,960.0,HIIT,21.0,1.5,3.0,17.41,27.67527072958368
54.0,Female,79.8,1.94,163.0,120.0,63.0,1.53,827.0,Yoga,25.3,3.3,4.0,12.32,29.5370011359296
22.0,Male,62.8,1.71,182.0,153.0,70.0,2.0,816.0,Yoga,15.8,2.706644144144144,3.0,14.23,27.05289395505836
26.0,Female,122.7,1.7392333709131906,191.0,151.0,72.0,1.14,524.0,Strength,24.3,1.5,2.0,17.44,63.375762260978334
23.0,Female,52.4,1.86,166.0,130.0,59.0,1.53,880.0,Yoga,21.6,1.5,4.0,12.32,43.39249638993556
34.0,Female,88.8,1.56,198.0,160.0,53.0,1.18,1086.0,Cardio,32.6,3.4,4.0,30.43,69.18592902203854
29.0,Female,101.5,1.9,175.0,165.0,74.0,1.46,1128.0,Yoga,26.3,2.7,2.0,25.74,44.33097738051402
18.0,Male,40.0,1.72,195.0,137.0,52.0,2.0,1783.0,Cardio,18.6,1.5,4.0,12.77,59.95342183651674
24.0,Male,40.0,2.0,173.0,126.0,50.0,1.1,1783.0,Cardio,31.9,1.6,3.0,34.62,70.06615656791402
34.47541899441341,Male,50.5,1.76,192.0,156.0,72.0,1.25,768.0,Cardio,12.8,1.7,4.0,16.06,31.277813997057645
41.0,Female,66.2,1.83,196.0,126.0,74.0,1.6,993.0,Yoga,20.2,2.5,5.0,24.37,56.55891577955232
37.0,Female,77.5,1.5,175.0,142.0,70.0,1.58,1141.0,Yoga,21.2,1.8,3.0,12.32,37.79437703894483
30.0,Female,119.6,1.72,191.0,150.0,74.0,1.77,1006.0,Yoga,13.1,2.2,4.0,13.32,61.303064464544725
38.0,Male,40.0,1.5,172.0,169.0,59.0,1.52,1107.0,HIIT,24.9,2.8,3.0,36.71,62.21173582836772
18.0,Male,82.3,1.74,198.0,155.0,55.0,1.38,1368.0,Strength,26.0,3.3,2.0,17.15,32.80705686778498
34.0,Male,53.0,1.92,199.0,134.0,68.0,1.12,790.0,Strength,19.8,3.5,4.0,16.18,36.47202309347447
56.0,Female,45.7,1.96,192.0,153.0,71.0,2.0,868.0,Yoga,11.4,2.0,4.0,21.34,38.42635764385605
18.0,Female,79.6,1.75,168.0,125.0,54.0,1.26,682.0,HIIT,25.1,2.4,3.0,12.32,59.41844181621048
42.0,Female,105.3,1.67,175.0,143.0,74.0,1.1,1115.0,Strength,25.4,3.3,3.0,12.32,66.92394540348238
31.0,Male,84.5,1.56,194.0,124.0,70.0,1.31,734.0,Strength,23.6,3.3,2.0,21.57,62.32765438777017
50.0,Male,98.6,1.54,187.0,126.0,57.0,0.72,940.0,Strength,23.5,1.6,3.0,12.32,38.5081202566892
27.0,Male,55.4,1.72,186.0,153.0,74.0,2.0,1281.0,\nStrength,10.9,2.4,4.0,14.56,29.92296890911644
41.0,Female,40.0,1.77,168.0,154.0,74.0,1.14,628.0,HIIT,19.9,3.4,5.0,24.52,28.62886200604116
26.0,Female,63.9,1.75,199.0,121.0,72.0,2.0,638.0,HIIT,23.6,3.4,4.0,23.96,38.29344413324513
47.0,Male,40.0,1.91,185.0,146.25932203389831,74.0,1.41,608.0,Cardio,24.3,2.9,3.0,27.2,30.325256029453715
31.0,Female,40.0,2.0,192.0,134.0,55.0,1.44,1116.0,Strength,12.0,2.6,2.0,21.2,32.133422399847056
27.0,Male,91.9,1.5,185.0,154.0,60.0,1.08,825.0,HIIT,28.8,3.2,5.0,21.07,47.37156663895275
20.0,Female,42.4,1.69,198.0,129.0,58.0,0.77,1030.0,HIIT,28.1,1.5,3.3392652123995408,20.39,52.8022228641575
21.0,Male,76.8,1.52,191.0,140.0,66.0,1.08,702.0,Cardio,21.0,3.6,3.0,25.59,68.31457282096935
47.0,Female,70.7,1.66,195.0,169.0,60.0,1.25,1033.0,\tYoga,16.7,3.5,4.0,14.61,61.23589027918713
33.0,Male,40.0,1.88,196.0,162.0,58.0,1.59,1131.0,Yoga,30.4,2.6,3.0,21.91,25.77290616906619
59.0,Male,40.0,1.56,163.0,167.0,74.0,1.59,722.0,Cardio,23.7,3.2,4.0,12.32,45.98789318900127
43.0,Male,46.8,1.67,178.0,141.0,64.0,1.03,1403.0,Cardio,26.1,3.2,3.0,14.13,40.46300854946035
27.0,Male,100.7,1.75,163.0,166.0,61.0,1.28,1159.0,Cardio,28.1,3.7,3.0,12.32,51.325381414740846
44.0,Female,73.4,1.59,199.0,152.0,72.0,0.94,721.0,Cardio,23.0,2.2,4.0,33.25,50.46559326653555
22.0,Male,63.4,1.83,196.0,169.0,71.0,1.66,466.0,Cardio,28.0,3.4,2.0,24.61,31.857874116259797
19.0,Female,129.9,1.71,161.0,169.0,56.0,2.0,443.0,Yoga,29.6,2.4,4.0,12.32,39.61201661153767
24.0,Female,48.3,1.73,193.0,136.0,62.0,1.98,1404.0,Strength,22.0,3.5,3.0,13.22,66.07704572191082
45.0,Female,80.5,1.89,183.0,134.0,74.0,1.02,1311.0,HIIT,24.6,1.9,4.0,12.32,26.989643376431843
35.0,Female,42.9,1.51,163.0,131.0,74.0,2.0,526.0,Cardio,15.3,3.3,5.0,13.74,61.67691053201841
18.0,Male,74.6,1.88,177.0,166.0,53.0,2.0,1010.0,Cardio,18.0,2.2,5.0,30.5,36.86023728919396
21.0,Male,66.7,1.93,175.0,166.0,63.0,1.26,949.0,Yoga,27.8,3.4,2.0,13.53,67.84002685480165
31.0,Female,55.0,1.6,172.0,164.0,53.0,1.85,1361.0,Strength,20.6,3.4,4.0,16.04,58.35284757931261
27.0,Female,52.3,1.77,193.0,130.0,57.0,2.0,993.0,Yoga,25.6,2.706644144144144,4.0,15.08,40.452575461201725
46.0,Male,65.7,1.75,192.0,135.0,59.0,1.31,881.0,Strength,10.0,2.7,2.0,31.78,27.25934501534832
53.0,Female,84.7,1.61,193.0,158.0,72.0,2.0,478.0,Yoga,25.6,2.4,3.0,18.57,43.40504840493164
18.0,Female,63.4,1.85,191.0,148.0,69.0,0.89,1106.0,Strength,21.4,2.3,5.0,15.64,29.477115249724008
48.0,Female,61.8,1.71,172.0,140.0,62.0,1.37,1266.0,Cardio,28.6,3.6,4.0,23.64,49.04064412252352
25.0,Male,44.2,1.9,174.0,159.0,50.0,1.1,1293.0,Yoga,25.7,2.5,4.0,19.26,47.04646544123085
18.0,Female,43.1,1.75,183.0,138.0,53.0,1.95,437.0,Cardio,19.1,3.6,2.0,18.14,27.57033947800213
18.0,Male,92.1,1.59,171.0,150.0,54.0,1.17,968.0,Yoga,21.8,2.4,5.0,25.66,58.88277171420684
31.0,Male,58.7,1.66,183.0,149.0,74.0,1.15,1368.0,Cardio,23.1,2.3,4.0,12.32,62.459690418092286
44.0,Female,59.4,1.67,197.0,164.0,53.0,1.31,676.0,Cardio,24.8,2.706644144144144,3.0,19.28,25.064733142720705
59.0,Female,44.5,1.84,183.0,154.0,71.0,1.28,787.0,Cardio,26.5,1.7,2.0,20.22,66.97555814378869
44.0,Female,84.8,2.0,196.0,155.0,70.0,1.66,1439.0,HIIT,12.1,1.7,2.0,14.34,61.0376390529606
57.0,Female,80.0,1.79,167.0,127.0,54.0,1.01,312.0,Yoga,24.3,2.6,4.0,13.16,42.8320532750608
20.0,Male,87.1,1.91,186.0,150.0,51.0,1.39,1431.0,Yoga,27.0,2.8,3.0,21.51,63.489482165582885
27.0,Male,56.4,1.76,198.0,129.0,71.0,1.79,488.0,HIIT,22.9,3.3,4.0,17.49,64.37516043698483
32.0,Male,58.4,2.0,179.0,139.0,60.0,1.21,1379.0,Strength,23.3,3.2,4.0,22.61,63.7446844981181
42.0,Female,68.5,1.75,187.0,167.0,54.0,1.3,708.0,Cardio,15.4,1.6,4.0,33.91,46.49249389039117
55.0,Female,67.1,1.58,199.0,122.0,71.0,1.86,960.0,Strength,21.7,1.5,4.0,28.07,34.08233037036601
31.0,Female,55.7,1.8,168.0,167.0,64.0,1.53,600.0,HIIT,34.4,2.8,4.0,25.27,58.22499830837953
39.0,Female,63.2,1.74,181.0,157.0,54.0,1.62,900.0,Strength,13.9,2.1,5.0,15.32,71.4845028678885
40.0,Female,64.6,1.55,198.0,133.0,74.0,1.39,303.0,Strength,21.4,1.5,2.0,16.91,42.83426243793172
35.0,Male,55.0,1.7392333709131906,172.0,149.0,62.0,1.43,1423.0,Strength,30.0,3.5,3.0,23.55,51.52755003432477
36.0,Female,71.9,1.66,177.0,146.25932203389831,73.0,0.96,556.0,Yoga,23.3,3.2,2.0,14.97,34.37822358748271
26.0,Female,56.7,1.73,168.0,144.0,71.0,0.68,1129.0,Strength,25.5,3.4,3.0,19.65,33.87510421466751
48.0,Male,56.0,1.7,164.0,132.0,50.0,2.0,1148.0,HIIT,26.6,3.1,2.0,19.44,67.87446822094935
54.0,Female,74.9,1.69,195.0,153.0,62.0,1.1,1389.0,Yoga,14.4,3.1,3.0,18.71,63.7336719860633
55.0,Female,67.60663667041621,1.68,164.0,156.0,67.0,1.59,851.0,Cardio,33.1,2.8,3.0,28.23,34.206739698666176
18.0,Female,43.0,1.95,163.0,164.0,68.0,2.0,1349.0,Strength,18.5,3.2,2.0,12.32,69.59374152456004
59.0,Male,70.2,1.77,172.0,124.0,68.0,1.47,1069.0,Cardio,21.4,3.5,4.0,40.19,50.11153363630318
23.0,Male,96.5,1.8,187.0,155.0,68.0,0.92,1465.0,Yoga,29.3,3.2,3.0,12.32,56.26622359961105
30.0,Male,56.6,2.0,184.0,125.0,52.0,1.29,918.0,Cardio,28.9,3.3,2.0,23.89,69.82303983533873
38.0,Female,40.0,1.88,164.0,154.0,70.0,1.63,1109.0,Yoga,20.7,1.7,2.0,12.64,67.99743630573226
18.0,Male,101.2,1.59,198.0,122.0,58.0,1.08,1033.6989307822173,Strength,28.6,3.1,4.0,19.39,39.8357095529981
48.0,Female,81.9,1.8,180.0,165.0,67.0,1.25,1410.0,Cardio,24.0,3.5,4.0,18.28,40.9434491614898
47.0,Male,121.4,1.61,164.0,155.0,74.0,0.94,934.0,Strength,24.7,2.5,2.0,30.03,53.00883756607566
21.0,Female,70.5,1.84,173.0,127.0,66.0,0.97,1013.0,Cardio,26.7,1.6,5.0,25.59,43.74716381204986
23.0,Female,70.5,1.65,192.0,162.0,50.0,0.63,1186.0,Cardio,27.1,2.6,2.0,20.02,44.47930032147583
46.0,Male,54.8,1.69,194.0,148.0,74.0,0.52,846.0,Yoga,16.5,3.5,3.0,22.85,34.89826662774657
42.0,Male,72.0,1.9,184.0,147.0,67.0,1.48,1047.0,Yoga,15.6,3.4,3.0,24.6,48.90966989845583
29.0,Male,56.3,1.81,189.0,166.0,65.0,1.39,1066.0,Strength,14.3,2.9,3.0,22.34,26.212645844142344
18.0,Male,46.5,1.54,198.0,169.0,55.0,1.3915981992121553,1060.0,Cardio,28.9,3.1,5.0,14.01,49.9958543953078
47.0,Female,51.4,1.88,176.0,125.0,58.0,0.88,1133.0,Yoga,24.0,3.3,3.0,14.3,48.89667289879067
43.0,Male,42.6,1.62,189.0,169.0,74.0,1.0,1213.0,Strength,13.6,3.5,2.0,21.81,41.63670525177777
18.0,Male,73.0,1.78,161.0,131.0,50.0,2.0,1319.0,Strength,26.1,1.5,5.0,12.32,60.186391855984816
50.0,Male,87.9,1.68,192.0,151.0,71.0,2.0,494.0,Strength,15.5,3.1,3.0,31.28,46.59696507672516
35.0,Male,53.0,1.67,183.0,128.0,72.0,1.29,682.0,Yoga,21.9,2.2,3.0,16.71,36.91547552188115
43.0,Female,46.3,1.61,190.0,136.0,69.0,2.0,1185.0,Yoga,21.4,3.5,4.0,14.14,28.818787328630933
53.0,Female,82.9,1.6,170.0,148.0,55.0,1.93,541.0,HIIT,17.8,2.5,3.0,12.33,61.43907237462611
18.0,Female,71.9,1.54,177.0,120.0,73.0,1.17,817.0,Strength,16.8,2.6,3.0,29.64,60.73081028989424
27.0,Male,41.0,1.82,171.0,138.0,53.0,1.47,1273.0,Cardio,29.1,2.4,4.0,12.35,28.68194328377596
18.0,Male,67.7,1.69,192.0,123.0,57.0,1.44,1445.0,Cardio,26.8,3.1,3.0,21.16,34.78250607702894
22.0,Female,99.5,1.79,186.0,122.0,56.0,1.45,1783.0,Cardio,27.6,3.5,2.0,23.56,53.21307799347011
31.0,Female,47.4,1.73,178.0,150.0,57.0,1.64,962.0,Cardio,28.8,2.0,4.0,20.91,52.17535678433431
18.0,Male,71.1,1.84,189.0,127.0,74.0,0.85,1303.0,Strength,15.2,2.8,2.0,30.36,26.21731494926458
22.0,Male,89.8,1.79,179.0,163.0,59.0,2.0,1098.0,Strength,28.2,1.7,3.0,12.32,52.74971710664841
28.0,Female,81.7,1.81,177.0,130.0,50.0,1.45,507.0,Cardio,23.2,1.7,3.0,34.26,63.73497579462666
40.0,Male,40.4,1.68,171.0,130.0,54.0,2.0,527.0,Strength,27.3,3.3,4.0,20.47,63.6724912165602
56.0,Male,40.0,1.63,181.0,133.0,50.0,0.89,1674.0,Yoga,23.4,1.5,3.0,20.75,31.17012379558119
41.0,Male,40.2,1.76,198.0,135.0,56.0,1.93,964.0,Strength,18.8,3.4,4.0,19.02,43.93798165574847
47.0,Male,49.9,1.74,190.0,120.0,65.0,1.97,406.0,HIIT,29.4,1.5,5.0,16.01,63.779626701984704
26.0,Male,40.0,1.72,164.0,169.0,58.0,0.89,1198.0,HIIT,17.0,1.6,5.0,20.71,24.669882538338776
18.0,Male,47.3,1.75,196.0,169.0,56.0,1.32,706.0,Cardio,29.0,1.9,2.0,30.5,36.71203358297065
54.0,Male,79.6,1.87,190.0,155.0,53.0,1.3915981992121553,884.0,Strength,27.7,3.5,2.0,12.32,45.46481430844587
19.0,Female,76.6,1.84,188.0,138.0,71.0,1.72,699.0,HIIT,28.3,3.5,4.0,19.76,27.20498508291493
32.0,Female,69.5,1.65,192.0,140.0,52.0,1.71,1163.0,Cardio,29.8,3.5,4.0,15.8,30.25732952236484
46.0,Female,68.6,1.63,177.0,150.0,58.0,2.0,1074.0,Strength,25.8,3.6,3.0,19.42,54.119700234722245
46.0,Male,73.0,2.0,184.0,123.0,64.0,0.9,1159.0,Cardio,10.0,3.4,5.0,14.91,62.99114547123422
52.0,Female,40.8,1.71,181.0,169.0,73.0,1.44,303.0,Yoga,28.3,1.6,3.0,18.31,59.78962364365894
19.0,Male,42.1,1.6,194.0,148.0,73.0,1.27,1305.0,Cardio,12.7,3.3,2.0,16.65,36.55413658910354
34.0,Male,40.0,1.82,176.0,141.0,66.0,1.34,1709.0,Cardio,24.1,3.0,4.0,15.3,46.92320352869662
18.0,Female,67.1,1.71,174.0,165.0,74.0,1.84,577.0,\nStrength,27.1,2.7,4.0,24.9,67.01291292033716
29.0,Male,72.1,2.0,166.0,124.0,67.0,2.0,1582.0,Strength,32.7,3.4,3.0,21.75,62.597819923397886
49.0,Female,62.0,1.87,195.0,125.0,74.0,1.04,842.0,HIIT,20.0,3.5,3.0,22.02,45.166520209312814
52.0,Male,71.3,1.84,197.0,126.0,73.0,1.22,765.0,Cardio,29.2,1.8,2.0,12.32,51.9262516169609
